//=============================================================================================================================================================================================================================================================================================================================================================
// Item - EX Legacy Season 6 Episode XIV
//=============================================================================================================================================================================================================================================================================================================================================================
0
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
32       0      260     1       2        1            1            1          "Sacred Glove"                       52      52          58          25            65           0                 0                 0          85            35             0           0             0               1      0       0       0       0       0       0       1
33       0      261     1       2        1            1            1          "Holy Storm Claw"                    82      82          88          30            77           0                 0                 0          100           50             0           0             0               1      0       0       0       0       0       0       1
34       0      260     1       2        1            1            1          "Piercing Blade Glove"               105     95          101         35            86           0                 0                 0          120           60             0           0             0               1      0       0       0       0       0       0       1
35       0      270     1       2        1            1            0          "Phoenix Soul Star"                  147     122         128         40            98           0                 0                 380        101           51             0           0             0               0      0       0       0       0       0       0       1
//--
29       0      22      1       4        1            1            0          "Sonic Blade"                        149     109         116         35            80           0                 0                 0          49            162            0           0             0               0      0       3       0       0       0       0       0
30       0      56      1       4        1            1            0          "Asura"                              149     115         140         45            90           0                 112               0          86            70             16          0             0               0      0       0       0       3       0       0       0
36       0      22      1       4        1            1            0          "Cyclone Sword"                      149     129         144         40            90           0                 0                 0          182           50             0           0             0               0      0       3       0       0       0       0       0
37       0      23      2       4        1            1            0          "Blast Break"                        149     163         216         30            130          0                 0                 0          182           50             0           0             0               0      0       3       0       3       0       0       0
38       0      260     1       2        1            1            0          "Prickle Glove"                      105     122         128         40            98           0                 0                 0          101           51             0           0             0               0      0       0       0       0       0       0       1
//--
42       0      22      1       4        1            1            0          "Bloodangel Sword"                   084     227         238         40            100          0                 0                 0          236           72             0           0             0               0      0       3       0       0       0       0       0
44       0      56      1       4        1            1            0          "Bloodangel Magic Sword"             085     222         233         45            100          0                 101               0          171           102            18          0             0               0      0       0       0       3       0       0       0
46       0      270     1       2        1            1            0          "Bloodangel Claw"                    098     137         147         35            100          0                 0                 0          124           39             0           0             0               0      0       0       0       0       0       0       3
//--
51       0      22      1       4        1            1            0          "B. Divine Sword of Archangel"       190     230         240         45            200          0                 0                 0          56            28             0           0             0               0      0       1       0       1       1       0       0
//--
52       0      270     1       2        1            1            0          "Pantera Claw"                       139     26          34          40            95           0                 0                 0          78            25             0           0             0               0      0       0       0       0       0       0       1
53       0      270     1       2        1            1            0          "Devast Claw"                        149     35          46          40            95           0                 0                 0          82            28             0           0             0               0      0       0       0       0       0       0       3
//--
54       0      22      1       4        1            1            0          "Darkangel Sword"                    048     230         241         40            100          0                 0                 0          353           109            0           0             0               0      0       3       0       0       0       0       0
55       0      56      1       4        1            1            0          "Darkangel Magic Sword"              048     228         238         45            100          0                 90                0          258           154            28          0             0               0      0       0       0       3       0       0       0
56       0      270     1       2        1            1            0          "Darkangel Claw"                     089     193         203         35            100          0                 0                 0          134           43             0           0             0               0      0       0       0       0       0       0       3
//--
57       0      22      1       4        1            1            0          "Holyangel Sword"                    032     233         244         40            100          0                 0                 0          453           141            0           0             0               0      0       3       0       0       0       0       0
58       0      56      1       4        1            1            0          "Holyangel Magic Sword"              033     236         247         45            100          0                 81                0          323           195            36          0             0               1      0       0       0       3       0       0       0
59       0      270     1       2        1            1            0          "Holyangel Claw"                     068     231         241         35            100          0                 0                 0          165           54             0           0             0               1      0       0       0       0       0       0       3
//--
60       0      260     1       2        1            1            0          "Divine Claw of Archangel"           86      90          99          35            168          0                 0                 0          62            21             0           0             0               1      0       0       0       0       0       0       3
61       0      260     1       2        1            1            0          "B. Divine Claw of Archangel"        190     116         127         35            200          0                 0                 0          56            20             0           0             0               1      0       0       0       0       0       0       3
//--
62       0      22      1       4        1            1            0          "Soul Sword"                         024     236         247         40            100          0                 0                 0          528           166            0           0             0               1      0       3       0       0       0       0       0
63       0      56      1       4        1            1            0          "Soul Magic Sword"                   025     240         251         45            100          0                 75                0          376           227            42          0             0               1      0       0       0       3       0       0       0
64       0      270     1       2        1            1            0          "Soul Claw"                          043     242         252         35            100          0                 0                 0          227           75             0           0             0               1      0       0       0       0       0       0       3
//--
72       0      22      1       4        1            1            0          "Blue Eye Sword"                     020     237         248         40            100          0                 0                 0          528           166            0           0             0               1      0       3       0       0       0       0       0
73       0      56      1       4        1            1            0          "Blue Eye Magic Sword"               021     241         252         45            100          0                 75                0          376           227            42          0             0               1      0       0       0       3       0       0       0
74       0      270     1       2        1            1            0          "Blue Eye Claw"                      039     243         253         35            100          0                 0                 0          227           75             0           0             0               1      0       0       0       0       0       0       3

//============================================================================================================================================================================================================================================================================================================================================================
// Sealed Bloodangel Weapon
//============================================================================================================================================================================================================================================================================================================================================================
142      *      0       1       3        1            1            0          "Sealed Bloodangel Sword"            10      0           0           0             1            0                 0                 0          0             0              0           0             0               0      0       3       0       0       0       0       0
144      *      0       1       3        1            1            0          "Sealed Bloodangel Magic Sword"      10      0           0           0             1            0                 0                 0          0             0              0           0             0               0      0       0       0       3       0       0       0
146      *      0       1       2        1            1            0          "Sealed Bloodangel Claw"             10      0           0           0             1            0                 0                 0          0             0              0           0             0               0      0       0       0       0       0       0       3

//============================================================================================================================================================================================================================================================================================================================================================
// Elemental Edition
//============================================================================================================================================================================================================================================================================================================================================================
171      0      22      1       4        1            1            0          "Fire Bone Blade"                    147     122        135          40            95           0                 0                 380        100           35             0           0             0               0      0       2       0       0       0       0       0
172      0      22      1       4        1            1            0          "Water Bone Blade"                   147     122        135          40            95           0                 0                 380        100           35             0           0             0               0      0       2       0       0       0       0       0
173      0      22      1       4        1            1            0          "Wind Bone Blade"                    147     122        135          40            95           0                 0                 380        100           35             0           0             0               0      0       2       0       0       0       0       0
174      0      22      1       4        1            1            0          "Earth Bone Blade"                   147     122        135          40            95           0                 0                 380        100           35             0           0             0               0      0       2       0       0       0       0       0
175      0      56      2       4        1            1            0          "Fire Explosion Blade"               147     127        155          45            110          0                 134               380        98            48             7           0             0               0      0       0       0       1       0       0       0
176      0      56      2       4        1            1            0          "Water Explosion Blade"              147     127        155          45            110          0                 134               380        98            48             7           0             0               0      0       0       0       1       0       0       0
177      0      56      2       4        1            1            0          "Wind Explosion Blade"               147     127        155          45            110          0                 134               380        98            48             7           0             0               0      0       0       0       1       0       0       0
178      0      56      2       4        1            1            0          "Earth Explosion Blade"              147     127        155          45            110          0                 134               380        98            48             7           0             0               0      0       0       0       1       0       0       0
179      0      270     1       2        1            1            0          "Fire Phoenix Soul Star"             147     122        128          40            98           0                 0                 380        101           51             0           0             0               0      0       0       0       0       0       0       1
180      0      270     1       2        1            1            0          "Water Phoenix Soul Star"            147     122        128          40            98           0                 0                 380        101           51             0           0             0               0      0       0       0       0       0       0       1
181      0      270     1       2        1            1            0          "Wind Phoenix Soul Star"             147     122        128          40            98           0                 0                 380        101           51             0           0             0               0      0       0       0       0       0       0       1
182      0      270     1       2        1            1            0          "Earth Phoenix Soul Star"            147     122        128          40            98           0                 0                 380        101           51             0           0             0               0      0       0       0       0       0       0       1
183      0      22      1       4        1            1            0          "Dark Bone Blade"                    147     122        135          40            95           0                 0                 380        100           35             0           0             0               0      0       2       0       0       0       0       0
184      0      56      2       4        1            1            0          "Dark Explosion Blade"               147     127        155          45            110          0                 134               380        98            48             7           0             0               0      0       0       0       1       0       0       0
185      0      270     1       2        1            1            0          "Dark Phoenix Soul Star"             147     122        128          40            98           0                 0                 380        101           51             0           0             0               0      0       0       0       0       0       0       1
end

1
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
0        0      0       1       3        1            1            1          "Small Axe"                          1       1           6           20            18           0                 0                 0          50            0              0           0             0               0      1       1       1       1       1       1       1
1        0      0       1       3        1            1            1          "Hand Axe"                           4       4           9           30            20           0                 0                 0          70            0              0           0             0               0      1       1       1       1       1       1       1
2        0      19      1       3        1            1            1          "Double Axe"                         14      14          24          20            26           0                 0                 0          90            0              0           0             0               0      0       1       0       1       1       0       0
3        0      19      1       3        1            1            1          "Tomahawk"                           18      18          28          30            28           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
4        0      0       1       3        1            1            1          "Elven Axe"                          26      26          38          40            32           0                 0                 0          50            70             0           0             0               0      1       0       1       1       0       1       0
5        0      19      2       3        1            1            1          "Battle Axe"                         30      36          44          20            36           0                 0                 0          120           0              0           0             0               0      0       1       1       1       0       0       0
6        0      19      2       3        1            1            1          "Nikea Axe"                          34      38          50          30            44           0                 0                 0          130           0              0           0             0               0      0       1       1       1       0       0       0
end

2
//============================================================================================================================================================================================================================================================================================================================================================
//Type   Slot   Skill   Width   Height   HaveSerial   HaveOption   DropItem   Name                                 Level   DamageMin   DamageMax   AttackSpeed   Durability   MagicDurability   MagicDamageRate   ReqLevel   ReqStrength   ReqDexterity   ReqEnergy   ReqVitality   ReqLeadership   Type   DW      DK      FE      MG      DL      SU      RF
//============================================================================================================================================================================================================================================================================================================================================================
0        0      0       1       3        1            1            1          "Mace"                               7       7           13          15            21           0                 0                 0          100           0              0           0             0               0      0       1       0       1       1       0       1
1        0      19      1       3        1            1            1          "Morning Star"                       13      13          22          15            25           0                 0                 0          100           0              0           0             0               1      0       1       0       1       1       0       1
2        0      0       1       3        1            1            1          "Flail"                              22      22          32          15            32           0                 0                 0          80            50             0           0             0               1      0       1       0       1       1       0       1
3        0      19      2       3        1            1            1          "Great Hammer"                       38      45          56          15            50           0                 0                 0          150           0              0           0             0               1      0       1       0       1       0       0       1
4        0      19      2       3        1            1            1          "Crystal Morning Star"               66      78          107         30            72           0                 0                 0          130           0              0           0             0               1      1       1       1       1       0       0       1
5        0      23      2       4        1            1            1          "Crystal Sword"                      72      89          120         40            76           0                 0                 0          130           70             0           0             0               1      1       1       1       1       0       0       0
6        0      23      2       4        1            1            0          "Chaos Dragon Axe"                   75      102         130         35            80           0                 0                 0          140           50             0           0             0               0      0       1       0       1       0       0       0
7        0      0       1       3        1            1            1          "Elemental Mace"                     90      62          80          50            50           0                 0                 0          15            42             0           0             0               1      0       0       2       0       0       0       0
8        0      66      1       3        1            1            1          "Battle Scepter"                     54      41          52          45            40           0                 3                 0          80            17             0           0             0               1      0       0       0       0       1       0       0
9        0      66      1       3        1            1            1          "Master Scepter"                     72      57          68          45            45           0                 20                0          87            18             0           0             0               1      0       0       0       0       1       0       0
10       0      66      1       4        1            1            1          "Great Scepter"                      82      74          85          45            65           0                 35                0          100           21             0           0             0               1      0       0       0       0       1       0       0
11       0      66      1       4        1            1            1          "Lord Scepter"                       98      91          102         40            72           0                 52                0          105           23             0           0             0               1      0       0       0       0       1       0       0
12       0      66      1       4        1            1            1          "Great Lord Scepter"                 140     108         120         40            84           0                 67                0          90            20             0           0             0               1      0       0       0       0       1       0       0
13       0      66      1       4        1            1            0          "Divine Scepter of Archangel"        150     200         223         45            90           0                 138               0          75            16             0           0             0               0      0       0       0       0       1       0       0
14       0      66      1       4        1            1            0          "Soleil Sceptor"                     146     130         153         40            95           0                 84                380        80            15             0           0             0               0      0       0       0       0       1       0       0
15       0      66      1       4        1            1            1          "Shining Scepter"                    110     99          111         40            78           0                 60                0          108           22             0           0             0               0      0       0       0       0       1       0       0
16       0      0       1       3        1            1            0          "Frost Mace"                         121     106         146         50            80           0                 0                 0          27            19             0           0             0               0      0       0       2       0       0       0       0
17       0      66      1       4        1            1            0          "Absolute Scepter"                   135     114         132         40            90           0                 72                0          119           24             0           0             0               0      0       0       0       0       1       0       0
18       0      66      1       4        1            1            0          "Striker Scepter"                    147     112         124         40            86           0                 70                0          87            20             0           0             0               0      0       0       0       0       1       0       0
//--
19       0      66      1       4        1            1            0          "Thunderbolt"                        149     127         154         40            78           0                 76                0          111           22             0           0             0               0      0       0       0       0       3       0       0
20       0      19      1       3        1            1            0          "Horn of Steal"                      149     177         206         25            120          0                 0                 0          182           50             0           0             0               0      0       3       0       0       3       0       0
//--
22       0      66      1       3        1            1            0          "Bloodangel Scepter"                 099     175         187         40            100          0                 98                0          149           30             0           0             0               1      0       0       0       0       3       0       0
//--
25       0      66      1       4        1            1            0          "B. Divine Scepter of Archangel"     075     245         255         45            170          0                 127               0          127           27             0           0             0               1      0       0       0       0       1       0       0
//--
26       0      66      1       3        1            1            0          "Darkangel Scepter"                  089     201         211         40            125          0                 103               0          162           33             0           0             0               1      0       0       0       0       3       0       0
//--
27       0      66      1       3        1            1            0          "Holyangel Scepter"                  049     240         252         40            150          0                 103               0          250           51             0           0             0               1      0       0       0       0       3       0       0
//--
28       0      66      1       3        1            1            0          "Soul Scepter"                       029     246         254         40            175          0                 93                0          340           71             0           0             0               1      0       0       0       0       3       0       0
//--
29       0      66      1       3        1            1            0          "Blue Eye Scepter"                   025     247         255         40            175          0                 93                0          340           71             0           0             0               1      0       0       0       0       3       0       0

//============================================================================================================================================================================================================================================================================================================================================================
// Sealed Bloodangel Weapon
//============================================================================================================================================================================================================================================================================================================================================================
122      *      0       1       2        1            1            0          "Sealed Bloodangel Scepter"          1       0          0            0             1            0                 0                 0          0             0              0           0             0               0      0       0       0       0       3       0       0

//============================================================================================================================================================================================================================================================================================================================================================
// Elemental Edition
//============================================================================================================================================================================================================================================================================================================================================================
180      0      66      1       4        1            1            0          "Fire Soleil Sceptor"                146     130        153          40            95           0                 84                380        80            15             0           0             0               0      0       0       0       0       1       0       0
181      0      66      1       4        1            1            0          "Water Soleil Sceptor"               146     130        153          40            95           0                 84                380        80            15             0           0             0               0      0       0       0       0       1       0       0
182      0      66      1       4        1            1            0          "Wind Soleil Sceptor"                146     130        153          40            95           0                 84                380        80            15             0           0             0               0      0       0       0       0       1       0       0
183      0      66      1       4        1            1            0          "Earth Soleil Sceptor"               146     130        153          40            95           0                 84                380        80            15             0           0             0               0      0       0       0       0       1       0       0
