//==================================================================================================================================================================================================================
// General Drops
//==================================================================================================================================================================================================================
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
7185      1       0       *         *         *         *         *         *         *         0          *           *              1                 32                1000       //Devil's Eye 1
7185      2       0       *         *         *         *         *         *         *         0          *           *              33                45                1000       //Devil's Eye 2
7185      3       0       *         *         *         *         *         *         *         0          *           *              46                57                1000       //Devil's Eye 3
7185      4       0       *         *         *         *         *         *         *         0          *           *              58                68                1000       //Devil's Eye 4
7185      5       0       *         *         *         *         *         *         *         0          *           *              69                76                1000       //Devil's Eye 5
7185      6       0       *         *         *         *         *         *         *         0          *           *              77                84                1000       //Devil's Eye 6
7185      7       0       *         *         *         *         *         *         *         0          *           *              85                150               1000       //Devil's Eye 7
7186      1       0       *         *         *         *         *         *         *         0          *           *              1                 32                1000       //Devil's Key 1
7186      2       0       *         *         *         *         *         *         *         0          *           *              33                45                1000       //Devil's Key 2
7186      3       0       *         *         *         *         *         *         *         0          *           *              46                57                1000       //Devil's Key 3
7186      4       0       *         *         *         *         *         *         *         0          *           *              58                68                1000       //Devil's Key 4
7186      5       0       *         *         *         *         *         *         *         0          *           *              69                76                1000       //Devil's Key 5
7186      6       0       *         *         *         *         *         *         *         0          *           *              77                84                1000       //Devil's Key 6
7186      7       0       *         *         *         *         *         *         *         0          *           *              85                *                 1000       //Devil's Key 7
//--
6705      1       0       *         *         *         *         *         *         *         0          *           *              46                57                1000       //Old Scroll 1
6705      2       0       *         *         *         *         *         *         *         0          *           *              58                68                1000       //Old Scroll 2
6705      3       0       *         *         *         *         *         *         *         0          *           *              69                76                1000       //Old Scroll 3
6705      4       0       *         *         *         *         *         *         *         0          *           *              77                84                1000       //Old Scroll 4
6705      5       0       *         *         *         *         *         *         *         0          *           *              85                101               1000       //Old Scroll 5
6705      6       0       *         *         *         *         *         *         *         0          *           *              102               150               1000       //Old Scroll 6
6706      1       0       *         *         *         *         *         *         *         0          *           *              46                57                1000       //Illusion Sorcerer Covenant 1
6706      2       0       *         *         *         *         *         *         *         0          *           *              58                68                1000       //Illusion Sorcerer Covenant 2
6706      3       0       *         *         *         *         *         *         *         0          *           *              69                76                1000       //Illusion Sorcerer Covenant 3
6706      4       0       *         *         *         *         *         *         *         0          *           *              77                84                1000       //Illusion Sorcerer Covenant 4
6706      5       0       *         *         *         *         *         *         *         0          *           *              85                101               1000       //Illusion Sorcerer Covenant 5
6706      6       0       *         *         *         *         *         *         *         0          *           *              102               *                 1000       //Illusion Sorcerer Covenant 6
//--
7269      0       0       *         *         *         *         *         *         *         0          *           *              70                *                 1000       //Suspicious Scrap of Paper
7278      0       0       *         *         *         *         *         *         *         0          *           *              70                *                 1000       //Sign of Dimensions
//--
7289      0       0       *         *         *         *         *         *         *         0          *           *              70                *                 1000       //Sealed Golden Box
7290      0       0       *         *         *         *         *         *         *         0          *           *              70                *                 1000       //Sealed Silver Box
//--
7268      0       0       *         *         *         *         *         *         *         0          *           *              25                *                 1000       //Lucky Coin

//==================================================================================================================================================================================================================
// Icarus Drops
//==================================================================================================================================================================================================================
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
6670      0       0       *         *         *         *         *         *         *         0          10          *              25                150               1000       //Loch's Feather
6670      1       0       *         *         *         *         *         *         *         0          10          *              25                150               1000       //Monarch's Crest

//==================================================================================================================================================================================================================
// Crywolf Fortress Drops
//==================================================================================================================================================================================================================
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
6688      0       0       *         *         *         *         *         *         *         0          34          *              97                134               2000       //Splinter of Armor
6689      0       0       *         *         *         *         *         *         *         0          34          *              97                134               2000       //Bless of Guardian
6690      0       0       *         *         *         *         *         *         *         0          34          *              97                134               2000       //Claw of Beast

//==================================================================================================================================================================================================================
// Kanturu Drops
//==================================================================================================================================================================================================================
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
6694      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1500       //Moonstone Pendant
7209      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Gemstone
//--
6188      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Crystal of Destruction
6189      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Crystal of Multi Shot
6190      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Crystal of Recovery
6191      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Crystal of Flame Strike
6192      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Scroll of Chaotic Diseier
7696      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Scroll of Decay
7697      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Scroll of Ice Storm
7698      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Scroll of Nova
7706      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Weakness Parchment
7707      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Innovation Parchment
7708      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Scroll of Wizardry Enhance
7709      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Scroll of Gigantic Storm
7711      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Dark Side Parchment
7713      0       0       *         *         *         *         *         *         *         0          37          *              *                 150               1000       //Dragon Slayer Parchment
//--
6694      0       0       *         *         *         *         *         *         *         0          38          *              *                 150               2000       //Moonstone Pendant
7209      0       0       *         *         *         *         *         *         *         0          38          *              *                 150               1500       //Gemstone
//--
6694      0       0       *         *         *         *         *         *         *         0          39          *              *                 150               2500       //Moonstone Pendant
7209      0       0       *         *         *         *         *         *         *         0          39          *              *                 150               2000       //Gemstone

//==================================================================================================================================================================================================================
// Barracks of Balgass Drops
//==================================================================================================================================================================================================================
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
6708      0       0       *         *         *         *         *         *         *         0          41          *              25                150               1000       //Condor Flame

//==================================================================================================================================================================================================================
// La Cleon Drops
//==================================================================================================================================================================================================================
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
6214      0       0       *         *         *         *         *         *         *         0          57          *              102               150               10000      //Sphere (Mono)
//--
7348      0       0       *         *         *         *         *         *         *         0          57          454            *                 *                 20000      //Ice Walker's Mane
7349      0       0       *         *         *         *         *         *         *         0          57          455            *                 *                 20000      //Mammoth's Bundle of Fur
7350      0       0       *         *         *         *         *         *         *         0          57          456            *                 *                 20000      //Giant's Icicle
7351      0       0       *         *         *         *         *         *         *         0          57          457            *                 *                 20000      //Coolutin's Poison
7352      0       0       *         *         *         *         *         *         *         0          57          458            *                 *                 20000      //Iron Knight's Heart
7353      0       0       *         *         *         *         *         *         *         0          57          562            *                 *                 20000      //Dark Mammoth's Horn
7354      0       0       *         *         *         *         *         *         *         0          57          563            *                 *                 20000      //Dark Giant's Axe
7355      0       0       *         *         *         *         *         *         *         0          57          564            *                 *                 20000      //Dark Coolutin's Blood
7356      0       0       *         *         *         *         *         *         *         0          57          565            *                 *                 20000      //Dark Iron Knight's Sword
//--
3089      0       0       0         0         0         0         *         *         3         0          57          *              102               110               4000       //Crismon Glory
3090      0       0       0         0         0         0         *         *         3         0          57          *              102               112               4000       //Salamander Shield
3091      0       0       0         *         0         0         *         *         3         0          57          *              102               112               4000       //Frost Barrier
3092      0       0       0         *         0         0         *         *         3         0          57          *              102               112               4000       //Guardian Shield
5165      0       0       *         0         0         0         *         *         3         0          57          *              112               122               4000       //Titan Gloves
5166      0       0       *         0         0         0         *         *         3         0          57          *              112               122               4000       //Brave Gloves
5167      0       0       *         0         0         0         *         *         3         0          57          *              112               122               4000       //Phantom Gloves
5168      0       0       *         0         0         0         *         *         3         0          57          *              112               122               4000       //Destroy Gloves
5169      0       0       *         0         0         0         *         *         3         0          57          *              112               122               4000       //Seraphim Gloves
5170      0       0       *         0         0         0         *         *         3         0          57          *              112               122               4000       //Divine Gloves
5171      0       0       *         0         0         0         *         *         3         0          57          *              112               122               4000       //Royal Gloves
5172      0       0       *         0         0         0         *         *         3         0          57          *              112               122               4000       //Hades Gloves
3629      0       0       *         0         0         0         *         *         3         0          57          *              122               122               4000       //Titan Helm
3630      0       0       *         0         0         0         *         *         3         0          57          *              122               122               4000       //Brave Helm
3633      0       0       *         0         0         0         *         *         3         0          57          *              122               122               4000       //Seraphim Helm
3634      0       0       *         0         0         0         *         *         3         0          57          *              122               122               4000       //Divine Helm
3635      0       0       *         0         0         0         *         *         3         0          57          *              122               122               4000       //Royal Mask
3636      0       0       *         0         0         0         *         *         3         0          57          *              122               122               4000       //Hades Helm
5677      0       0       *         0         0         0         *         *         3         0          57          *              122               132               4000       //Titan Boots
5678      0       0       *         0         0         0         *         *         3         0          57          *              122               132               4000       //Brave Boots
5679      0       0       *         0         0         0         *         *         3         0          57          *              122               132               4000       //Phantom Boots
5680      0       0       *         0         0         0         *         *         3         0          57          *              122               132               4000       //Destroy Boots
5681      0       0       *         0         0         0         *         *         3         0          57          *              122               132               4000       //Seraphim Boots
5682      0       0       *         0         0         0         *         *         3         0          57          *              122               132               4000       //Divine Boots
5683      0       0       *         0         0         0         *         *         3         0          57          *              122               132               4000       //Royal Boots
5684      0       0       *         0         0         0         *         *         3         0          57          *              122               132               4000       //Hades Boots
4653      0       0       *         0         0         0         *         *         3         0          57          *              132               142               4000       //Titan Pants
4654      0       0       *         0         0         0         *         *         3         0          57          *              132               142               4000       //Brave Pants
4655      0       0       *         0         0         0         *         *         3         0          57          *              132               142               4000       //Phantom Pants
4656      0       0       *         0         0         0         *         *         3         0          57          *              132               142               4000       //Destroy Pants
4657      0       0       *         0         0         0         *         *         3         0          57          *              132               142               4000       //Seraphim Pants
4658      0       0       *         0         0         0         *         *         3         0          57          *              132               142               4000       //Divine Pants
4659      0       0       *         0         0         0         *         *         3         0          57          *              132               142               4000       //Royal Pants
4660      0       0       *         0         0         0         *         *         3         0          57          *              132               142               4000       //Hades Pants
4653      0       0       *         0         0         0         *         *         3         0          57          *              142               145               4000       //Titan Armor
4654      0       0       *         0         0         0         *         *         3         0          57          *              142               145               4000       //Brave Armor
4655      0       0       *         0         0         0         *         *         3         0          57          *              142               145               4000       //Phantom Armor
4656      0       0       *         0         0         0         *         *         3         0          57          *              142               145               4000       //Destroy Armor
4657      0       0       *         0         0         0         *         *         3         0          57          *              142               145               4000       //Seraphim Armor
4658      0       0       *         0         0         0         *         *         3         0          57          *              142               145               4000       //Divine Armor
4659      0       0       *         0         0         0         *         *         3         0          57          *              142               145               4000       //Royal Armor
4660      0       0       *         0         0         0         *         *         3         0          57          *              142               145               4000       //Hades Armor
26        0       0       0         0         0         0         *         *         3         0          57          *              140               148               4000       //Flameberg
27        0       0       0         0         0         0         *         *         3         0          57          *              140               148               4000       //Sword Braker
28        0       0       0         0         0         0         *         *         3         0          57          *              140               148               4000       //Rune Bastard Sword
1040      0       0       0         *         0         0         *         *         3         0          57          *              140               148               4000       //Frost Mace
1041      0       0       0         0         0         0         *         *         3         0          57          *              140               148               4000       //Absolute Scepter
2071      0       0       0         0         0         0         *         *         5         0          57          *              140               148               4000       //Dark Stinger
2590      0       0       *         0         0         0         *         *         3         0          57          *              140               148               4000       //Deadly Staff
2591      0       0       *         0         0         0         *         *         3         0          57          *              140               148               4000       //Inberial Staff
//--
3613      0       0       0         *         0         *         *         *         *         0          57          *              140               143               4000       //Dragon Knight Helm
3614      0       0       0         *         0         *         *         *         *         0          57          *              140               143               4000       //Venom Mist Helm
3615      0       0       0         *         0         *         *         *         *         0          57          *              140               143               4000       //Sylphid Ray Helm
3617      0       0       0         *         0         *         *         *         *         0          57          *              140               143               4000       //Sunlight Helm
3627      0       0       0         *         0         *         *         *         *         0          57          *              140               143               4000       //Storm Blitz Helm
3657      0       0       0         *         0         *         *         *         *         0          57          *              140               143               4000       //Phoenix Soul Helm
4637      0       0       0         *         0         *         *         *         *         0          57          *              143               143               4000       //Dragon Knight Pants
4638      0       0       0         *         0         *         *         *         *         0          57          *              143               143               4000       //Venom Mist Pants
4639      0       0       0         *         0         *         *         *         *         0          57          *              143               143               4000       //Sylphid Ray Pants
4640      0       0       0         *         0         *         *         *         *         0          57          *              143               143               4000       //Volcano Pants
4641      0       0       0         *         0         *         *         *         *         0          57          *              143               143               4000       //Sunlight Pants
4651      0       0       0         *         0         *         *         *         *         0          57          *              143               143               4000       //Storm Blitz Pants
4681      0       0       0         *         0         *         *         *         *         0          57          *              143               143               4000       //Phoenix Soul Pants
5149      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Dragon Knight Gloves
5150      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Venom Mist Gloves
5151      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Sylphid Ray Gloves
5152      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Volcano Gloves
5153      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Sunlight Gloves
5163      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Storm Blitz Gloves
5661      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Dragon Knight Boots
5662      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Venom Mist Boots
5663      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Sylphid Ray Boots
5664      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Volcano Boots
5665      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Sunlight Boots
5675      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Storm Blitz Boots
5705      0       0       0         *         0         *         *         *         *         0          57          *              145               148               4000       //Phoenix Soul Boots
4125      0       0       0         *         *         0         *         *         *         0          57          565            148               150               4000       //Dragon Knight Armor
4126      0       0       0         *         *         0         *         *         *         0          57          565            148               150               4000       //Venom Mist Armor
4127      0       0       0         *         *         0         *         *         *         0          57          565            148               150               4000       //Sylphid Ray Armor
4128      0       0       0         *         *         0         *         *         *         0          57          565            148               150               4000       //Volcano Armor
4129      0       0       0         *         *         0         *         *         *         0          57          565            148               150               4000       //Sunlight Armor
4139      0       0       0         *         *         0         *         *         *         0          57          565            148               150               4000       //Storm Blitz Armor
4169      0       0       0         *         *         0         *         *         *         0          57          565            148               150               4000       //Phoenix Soul Armor
4125      0       0       *         *         0         *         *         *         *         0          57          565            148               150               4000       //Dragon Knight Armor
4126      0       0       *         *         0         *         *         *         *         0          57          565            148               150               4000       //Venom Mist Armor
4127      0       0       *         *         0         *         *         *         *         0          57          565            148               150               4000       //Sylphid Ray Armor
4128      0       0       *         *         0         *         *         *         *         0          57          565            148               150               4000       //Volcano Armor
4129      0       0       *         *         0         *         *         *         *         0          57          565            148               150               4000       //Sunlight Armor
4139      0       0       *         *         0         *         *         *         *         0          57          565            148               150               4000       //Storm Blitz Armor
4169      0       0       *         *         0         *         *         *         *         0          57          565            148               150               4000       //Phoenix Soul Armor
22        0       0       0         0         0         0         *         *         *         0          57          565            148               150               4000       //Bone Blade
23        0       0       0         0         0         0         *         *         *         0          57          565            148               150               4000       //Explosion Blade
35        0       0       0         0         0         0         *         *         *         0          57          565            148               150               4000       //Phoenix Soul Star
1038      0       0       0         0         0         0         *         *         *         0          57          565            148               150               4000       //Soleil Scepter
2069      0       0       0         0         0         0         *         *         *         0          57          565            148               150               4000       //Sylph Wind Bow
2572      0       0       0         0         0         0         *         *         *         0          57          565            148               150               4000       //Grand Viper Staff
2579      0       0       0         0         0         0         *         *         *         0          57          565            148               150               4000       //Storm Blitz Stick
//--
7359      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Sonic Combination Note
7360      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Cyclone Combination Note
7361      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Blast Combination Note
7362      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Magma Combination Note
7363      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Horn Combination Note
7364      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Angelic Combination Note
7365      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Devil Cross Combination Note
7366      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Miracle Combination Note
7367      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Spite Combination Note
7368      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Asura Combination Note
7369      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Thunder Combination Note
7370      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Soul Combination Note
7371      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Prickle Combination Note
7372      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Lazy Combination Note
7373      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Light Combination Note
7374      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Dark Combination Note
7375      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Magic Combination Note
7376      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Ambition Combination Note
7423      0       0       *         *         *         *         *         *         *         0          57          *              102               150               2000       //Socket Upgrade Note

//==================================================================================================================================================================================================================
// Acheron Drops
//==================================================================================================================================================================================================================
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
7256      0       0       *         *         *         *         *         *         *         0          91          *              *                 *                 50000      //White Cherry Blossom Branch
7257      0       0       *         *         *         *         *         *         *         0          91          *              *                 *                 50000      //Red Cherry Blossom Branch
7258      0       0       *         *         *         *         *         *         *         0          91          *              *                 *                 50000      //Golden Cherry Blossom Branch

//==================================================================================================================================================================================================================
// Kubera Mines Drops
//==================================================================================================================================================================================================================
//Index   Level   Grade   Option0   Option1   Option2   Option3   Option4   Option5   Option6   Duration   MapNumber   MonsterClass   MonsterLevelMin   MonsterLevelMax   DropRate   Comment
7437      0       0       *         *         *         *         *         *         *         0          123         *              400               400               2000       //Jewel of Level
7438      0       0       *         *         *         *         *         *         *         0          123         *              400               400               3000       //Jewel of Luck
7439      0       0       *         *         *         *         *         *         *         0          123         *              400               400               4000       //Jewel of Option
7440      0       0       *         *         *         *         *         *         *         0          123         *              400               400               5000       //Jewel of Skill
7441      0       0       *         *         *         *         *         *         *         0          123         *              400               400               4000       //Jewel of Excellent
7442      0       0       *         *         *         *         *         *         *         0          123         *              400               400               3000       //Jewel of Socket
7443      0       0       *         *         *         *         *         *         *         0          123         *              400               400               2000       //Jewel of Ancient
7444      0       0       *         *         *         *         *         *         *         0          123         *              400               400               1000       //Jewel of Full
//--
7534      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               40000      //Fragment of Fire
7535      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               40000      //Fragment of Water
7536      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               40000      //Fragment of Wind
7537      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               40000      //Fragment of Earth
7538      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               40000      //Fragment of Dark
//--
7437      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               200        //Jewel of Level
7438      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               300        //Jewel of Luck
7439      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               400        //Jewel of Option
7440      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               500        //Jewel of Skill
7441      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               400        //Jewel of Excellent
7442      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               300        //Jewel of Socket
7443      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               200        //Jewel of Ancient
7444      0       0       *         *         *         *         *         *         *         0          123         *              *                 400               100        //Jewel of Full
//--
3613      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Dragon Knight Helm
3614      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Venom Mist Helm
3615      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Sylphid Ray Helm
3617      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Sunlight Helm
3627      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Storm Blitz Helm
3657      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Phoenix Soul Helm
4637      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Dragon Knight Pants
4638      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Venom Mist Pants
4639      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Sylphid Ray Pants
4640      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Volcano Pants
4641      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Sunlight Pants
4651      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Storm Blitz Pants
4681      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Phoenix Soul Pants
5149      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Dragon Knight Gloves
5150      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Venom Mist Gloves
5151      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Sylphid Ray Gloves
5152      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Volcano Gloves
5153      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Sunlight Gloves
5163      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Storm Blitz Gloves
5661      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Dragon Knight Boots
5662      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Venom Mist Boots
5663      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Sylphid Ray Boots
5664      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Volcano Boots
5665      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Sunlight Boots
5675      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Storm Blitz Boots
5705      0       0       0         *         0         *         *         *         *         0          123         *              *                 400               4000       //Phoenix Soul Boots
4125      0       0       0         *         *         0         *         *         *         0          123         *              *                 400               4000       //Dragon Knight Armor
4126      0       0       0         *         *         0         *         *         *         0          123         *              *                 400               4000       //Venom Mist Armor
4127      0       0       0         *         *         0         *         *         *         0          123         *              *                 400               4000       //Sylphid Ray Armor
4128      0       0       0         *         *         0         *         *         *         0          123         *              *                 400               4000       //Volcano Armor
4129      0       0       0         *         *         0         *         *         *         0          123         *              *                 400               4000       //Sunlight Armor
4139      0       0       0         *         *         0         *         *         *         0          123         *              *                 400               4000       //Storm Blitz Armor
4169      0       0       0         *         *         0         *         *         *         0          123         *              *                 400               4000       //Phoenix Soul Armor
4125      0       0       *         *         0         *         *         *         *         0          123         *              *                 400               4000       //Dragon Knight Armor
4126      0       0       *         *         0         *         *         *         *         0          123         *              *                 400               4000       //Venom Mist Armor
4127      0       0       *         *         0         *         *         *         *         0          123         *              *                 400               4000       //Sylphid Ray Armor
4128      0       0       *         *         0         *         *         *         *         0          123         *              *                 400               4000       //Volcano Armor
4129      0       0       *         *         0         *         *         *         *         0          123         *              *                 400               4000       //Sunlight Armor
4139      0       0       *         *         0         *         *         *         *         0          123         *              *                 400               4000       //Storm Blitz Armor
4169      0       0       *         *         0         *         *         *         *         0          123         *              *                 400               4000       //Phoenix Soul Armor
22        0       0       0         0         0         0         *         *         *         0          123         *              *                 400               4000       //Bone Blade
23        0       0       0         0         0         0         *         *         *         0          123         *              *                 400               4000       //Explosion Blade
35        0       0       0         0         0         0         *         *         *         0          123         *              *                 400               4000       //Phoenix Soul Star
1038      0       0       0         0         0         0         *         *         *         0          123         *              *                 400               4000       //Soleil Scepter
2069      0       0       0         0         0         0         *         *         *         0          123         *              *                 400               4000       //Sylph Wind Bow
2572      0       0       0         0         0         0         *         *         *         0          123         *              *                 400               4000       //Grand Viper Staff
2579      0       0       0         0         0         0         *         *         *         0          123         *              *                 400               4000       //Storm Blitz Stick

//==================================================================================================================================================================================================================
// Mix Wings 2.5 Drops
//==================================================================================================================================================================================================================
